exp,peers,nlr,failures,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size
0000,4,1,0,1,Straggler,60000,1,1gbit,4,Pbft,1,4,4,64,Simple,256,2048,1000,32,1,64,16,true,false,131072000,128,32,false,960,1048576,external,32,8192
0001,4,1,0,1,Straggler,60000,1,1gbit,4,Pbft,1,4,4,64,Simple,256,2048,1000,32,1,64,16,true,false,131072000,256,64,false,1920,1048576,external,32,8192
0002,4,1,0,1,Straggler,60000,1,1gbit,4,Pbft,1,4,4,64,Simple,256,2048,1000,32,1,64,16,true,false,131072000,512,128,false,3840,1048576,external,32,8192
0003,4,1,0,1,Straggler,60000,1,1gbit,4,Pbft,1,4,4,64,Simple,256,2048,1000,32,1,64,16,true,false,131072000,1024,256,false,7680,1048576,external,32,8192
0004,4,1,0,1,Straggler,60000,1,1gbit,4,Pbft,1,4,4,64,Simple,256,2048,1000,32,1,64,16,true,false,131072000,2048,512,false,15360,1048576,external,32,8192
0005,4,1,0,1,Straggler,60000,1,1gbit,4,Pbft,1,4,4,64,Simple,256,2048,1000,32,1,64,16,true,false,131072000,4096,1024,false,30720,1048576,external,32,8192
0006,4,1,0,1,Straggler,60000,1,1gbit,4,Pbft,1,4,4,64,Simple,256,2048,1000,32,1,64,16,true,false,131072000,8192,2048,false,61440,1048576,external,32,8192
0007,4,1,0,1,Straggler,60000,1,1gbit,4,Pbft,1,4,4,64,Simple,256,2048,1000,32,1,64,16,true,false,131072000,12288,3072,false,92160,1048576,external,32,8192
0008,4,1,0,1,Straggler,60000,1,1gbit,4,Pbft,1,4,4,64,Simple,256,2048,1000,32,1,64,16,true,false,131072000,24576,6144,false,184320,1048576,external,32,8192
0009,4,1,0,1,Straggler,60000,1,1gbit,4,Pbft,1,4,4,64,Simple,256,2048,1000,32,1,64,16,true,false,131072000,32768,8192,false,245760,1048576,external,32,8192
0010,4,1,0,1,Straggler,60000,1,1gbit,4,Pbft,1,4,4,64,Simple,256,2048,1000,32,1,64,16,true,false,131072000,40960,10240,false,307200,1048576,external,32,8192
0011,4,1,0,1,Straggler,60000,1,1gbit,4,Pbft,1,4,4,64,Simple,256,2048,1000,32,1,64,16,true,false,131072000,49152,12288,false,368640,1048576,external,32,8192
