exp,peers,nlr,failures,numStraggler,numPrivCnt,UseSig,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size
0000,16,1,0,1,10,true,Straggler,60000,1,1gbit,1,Pbft,16,4,64,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,512,8,false,240,65536,external,32,8192
0001,16,1,0,1,10,true,Straggler,60000,1,1gbit,1,Pbft,16,4,64,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,1024,16,false,480,65536,external,32,8192
0002,16,1,0,1,10,true,Straggler,60000,1,1gbit,1,Pbft,16,4,64,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,2048,32,false,960,65536,external,32,8192
0003,16,1,0,1,10,true,Straggler,60000,1,1gbit,1,Pbft,16,4,64,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,4096,64,false,1920,65536,external,32,8192
0004,16,1,0,1,10,true,Straggler,60000,1,1gbit,1,Pbft,16,4,64,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,8192,128,false,3840,65536,external,32,8192
0005,16,1,0,1,10,true,Straggler,60000,1,1gbit,1,Pbft,16,4,64,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,16384,256,false,7680,65536,external,32,8192
0006,16,1,0,1,10,true,Straggler,60000,1,1gbit,1,Pbft,16,4,64,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,24576,384,false,11520,65536,external,32,8192
0007,16,1,0,1,10,true,Straggler,60000,1,1gbit,1,Pbft,16,4,64,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,32768,512,false,15360,65536,external,32,8192
0008,16,1,0,1,10,true,Straggler,60000,1,1gbit,1,Pbft,16,4,64,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,40960,640,false,19200,65536,external,32,8192
0009,16,1,0,1,10,true,Straggler,60000,1,1gbit,1,Pbft,16,4,64,16,Simple,256,2048,1000,32,4,256,16,true,false,131072000,49152,768,false,23040,65536,external,32,8192
